verb,tense,input_ipa,predicted_base,predicted_tag,expected_tag_piece,correct
chew,Past,#tʃud#,#tʃu#,PST/ PST.PTCP,PST,Right
chew,Perfect,#tʃud#,#tʃu#,PST/ PST.PTCP,PST,Right
choose,Present 3rd Singular,#ʧuzɪz#,#ʧuz#,3SG-PRES,3SG-PRES,Right
choose,Progressive,#ʧuzɪŋ#,#ʧuz#,PROG,PROG,Right
choose,Past,#ʧoʊz#,#ʧuz#,PST,PST,Right
choose,Perfect,#ʧoʊzən#,#ʧuz#,PST.PTCP,PST,Right
clap,Present 3rd Singular,#klæps#,#klæp#,3SG-PRES,3SG-PRES,Right
clap,Progressive,#klæpɪŋ#,#klæp#,PROG,PROG,Right
clap,Past,#klæpt#,#klæp#,PST/ PST.PTCP,PST,Right
clap,Perfect,#klæpt#,#klæp#,PST/ PST.PTCP,PST,Right
clarify,Present 3rd Singular,#klɛɹəfaɪz#,#klɛɹəfa#,3SG-PRES,3SG-PRES,Wrong
clarify,Progressive,#klɛɹəfaɪɪŋ#,#klɛɹəfaɪ#,PROG,PROG,Right
clarify,Past,#klɛɹəfaɪd#,#klɛɹəfa#,PST/ PST.PTCP,PST,Wrong
clarify,Perfect,#klɛɹəfaɪd#,#klɛɹəfa#,PST/ PST.PTCP,PST,Wrong
classify,Present 3rd Singular,#klæsəfaɪz#,#klæsəfa#,3SG-PRES,3SG-PRES,Wrong
classify,Progressive,#klæsəfaɪɪŋ#,#klæsəfaɪ#,PROG,PROG,Right
classify,Past,#klæsəfaɪd#,#klæsəfa#,PST/ PST.PTCP,PST,Wrong
classify,Perfect,#klæsəfaɪd#,#klæsəfa#,PST/ PST.PTCP,PST,Wrong
clean,Present 3rd Singular,#klinz#,#klin#,3SG-PRES,3SG-PRES,Right
clean,Progressive,#klinɪŋ#,#klin#,PROG,PROG,Right
clean,Past,#klind#,#klin#,PST/ PST.PTCP,PST,Right
clean,Perfect,#klind#,#klin#,PST/ PST.PTCP,PST,Right
cleanse,Present 3rd Singular,#klɛnzɪz#,#klɛnz#,3SG-PRES,3SG-PRES,Right
cleanse,Progressive,#klɛnzɪŋ#,#klɛnz#,PROG,PROG,Right
cleanse,Past,#klɛnzd#,#klɛnz#,PST/ PST.PTCP,PST,Right
cleanse,Perfect,#klɛnzd#,#klɛnz#,PST/ PST.PTCP,PST,Right
come,Present 3rd Singular,#kʌmz#,#kʌm#,3SG-PRES,3SG-PRES,Right
come,Progressive,#kʌmɪŋ#,#kʌm#,PROG,PROG,Right
come,Past,#keɪm#,#kʌm#,PST,PST,Right
come,Perfect,#kʌm#,#kʌm#,PST.PTCP,PST,Right
command,Present 3rd Singular,#kəmændz#,#kəmænd#,3SG-PRES,3SG-PRES,Right
command,Progressive,#kəmændɪŋ#,#kəmænd#,PROG,PROG,Right
command,Past,#kəmændɪd#,#kəmænd#,PST/ PST.PTCP,PST,Right
command,Perfect,#kəmændɪd#,#kəmænd#,PST/ PST.PTCP,PST,Right
compare,Present 3rd Singular,#kəmpɛɹz#,#kəmpɛɹ#,3SG-PRES,3SG-PRES,Right
compare,Progressive,#kəmpɛɹɪŋ#,#kəmpɛɹ#,PROG,PROG,Right
compare,Past,#kəmpɛɹd#,#kəmpɛɹ#,PST/ PST.PTCP,PST,Right
compare,Perfect,#kəmpɛɹd#,#kəmpɛɹ#,PST/ PST.PTCP,PST,Right
confront,Present 3rd Singular,#kənfɹʌnts#,#kənfɹʌnt#,3SG-PRES,3SG-PRES,Right
confront,Progressive,#kənfɹʌntɪŋ#,#kənfɹʌnt#,PROG,PROG,Right
confront,Past,#kənfɹʌntɪd#,#kənfɹʌnt#,PST/ PST.PTCP,PST,Right
confront,Perfect,#kənfɹʌntɪd#,#kənfɹʌnt#,PST/ PST.PTCP,PST,Right
cost,Present 3rd Singular,#kɔsts#,#kɔst#,3SG-PRES,3SG-PRES,Right
cost,Progressive,#kɔstɪŋ#,#kɔst#,PROG,PROG,Right
cost,Past,#kɔst#,#kɔst#,PST/ PST.PTCP,PST,Right
cost,Perfect,#kɔst#,#kɔst#,PST/ PST.PTCP,PST,Right
could,Present 3rd Singular,#kʊd#,#kʊ#,PST/ PST.PTCP,3SG-PRES,Wrong
could,Progressive,No Progressive,,,PROG,Wrong
could,Past,#kʊd#,#kʊ#,PST/ PST.PTCP,PST,Wrong
could,Perfect,No Perfect Participle,,,PST,Wrong
creep,Present 3rd Singular,#kɹips#,#kɹip#,3SG-PRES,3SG-PRES,Right
creep,Progressive,#kɹipɪŋ#,#kɹip#,PROG,PROG,Right
creep,Past,#kɹɛpt#,#kɹip#,PST/ PST.PTCP,PST,Right
creep,Perfect,#kɹɛpt#,#kɹip#,PST/ PST.PTCP,PST,Right
cut,Present 3rd Singular,#kʌts#,#kʌt#,3SG-PRES,3SG-PRES,Right
cut,Progressive,#kʌtɪŋ#,#kʌt#,PROG,PROG,Right
cut,Past,#kʌt#,#kʌt#,PST/ PST.PTCP,PST,Right
cut,Perfect,#kʌt#,#kʌt#,PST/ PST.PTCP,PST,Right
deactivate,Present 3rd Singular,#diæktɪveɪts#,#diæktɪveɪt#,3SG-PRES,3SG-PRES,Right
deactivate,Progressive,#diæktɪveɪtɪŋ#,#diæktɪveɪt#,PROG,PROG,Right
deactivate,Past,#diæktɪveɪtɪd#,#diæktɪveɪt#,PST/ PST.PTCP,PST,Right
deactivate,Perfect,#diæktɪveɪtɪd#,#diæktɪveɪt#,PST/ PST.PTCP,PST,Right
deal,Present 3rd Singular,#dilz#,#dil#,3SG-PRES,3SG-PRES,Right
deal,Progressive,#dilɪŋ#,#dil#,PROG,PROG,Right
deal,Past,#dɛlt#,#dil#,PST/ PST.PTCP,PST,Right
deal,Perfect,#dɛlt#,#dil#,PST/ PST.PTCP,PST,Right
decorate,Present 3rd Singular,#dɛkəɹeɪts#,#dɛkəɹeɪt#,3SG-PRES,3SG-PRES,Right
decorate,Progressive,#dɛkəɹeɪtɪŋ#,#dɛkəɹeɪt#,PROG,PROG,Right
decorate,Past,#dɛkəɹeɪtɪd#,#dɛkəɹeɪt#,PST/ PST.PTCP,PST,Right
decorate,Perfect,#dɛkəɹeɪtɪd#,#dɛkəɹeɪt#,PST/ PST.PTCP,PST,Right
develop,Present 3rd Singular,#dɪvɛləps#,#dɪvɛləp#,3SG-PRES,3SG-PRES,Right
develop,Progressive,#dɪvɛləpɪŋ#,#dɪvɛləp#,PROG,PROG,Right
develop,Past,#dɪvɛləpt#,#dɪvɛləp#,PST/ PST.PTCP,PST,Right
develop,Perfect,#dɪvɛləpt#,#dɪvɛləp#,PST/ PST.PTCP,PST,Right
dig,Present 3rd Singular,#dɪgz#,#dɪg#,3SG-PRES,3SG-PRES,Right
dig,Progressive,#dɪgɪŋ#,#dɪg#,PROG,PROG,Right
dig,Past,#dʌg#,#dɪg#,PST/ PST.PTCP,PST,Right
dig,Perfect,#dʌg#,#dɪg#,PST/ PST.PTCP,PST,Right
dip,Present 3rd Singular,#dɪps#,#dɪp#,3SG-PRES,3SG-PRES,Right
dip,Progressive,#dɪpɪŋ#,#dɪp#,PROG,PROG,Right
dip,Past,#dɪpt#,#dɪp#,PST/ PST.PTCP,PST,Right
dip,Perfect,#dɪpt#,#dɪp#,PST/ PST.PTCP,PST,Right
disappear,Present 3rd Singular,#dɪsəpɪɹz#,#dɪsəpɪɹ#,3SG-PRES,3SG-PRES,Right
disappear,Progressive,#dɪsəpɪɹɪŋ#,#dɪsəpɪɹ#,PROG,PROG,Right
disappear,Past,#dɪsəpɪɹd#,#dɪsəpɪɹ#,PST/ PST.PTCP,PST,Right
disappear,Perfect,#dɪsəpɪɹd#,#dɪsəpɪɹ#,PST/ PST.PTCP,PST,Right
dive,Present 3rd Singular,#daɪvz#,#daɪv#,3SG-PRES,3SG-PRES,Right
dive,Progressive,#daɪvɪŋ#,#daɪv#,PROG,PROG,Right
dive,Past,#doʊv#,#daɪv#,PST,PST,Right
dive,Perfect,#doʊv#,#daɪv#,PST,PST,Right
do,Present 3rd Singular,#dʌz#,#du#,PRES,3SG-PRES,Wrong
do,Progressive,#duɪŋ#,#du#,PROG,PROG,Right
do,Past,#dɪd#,#du#,PST,PST,Right
do,Perfect,#dʌn#,#du#,PST.PTCP,PST,Right
draw,Present 3rd Singular,#dɹɔz#,#dɹɔ#,3SG-PRES,3SG-PRES,Right
draw,Progressive,#dɹɔɪŋ#,#dɹɔ#,PROG,PROG,Right
draw,Past,#dɹu#,#dɹɔ#,PST,PST,Right
draw,Perfect,#dɹɔn#,#dɹɔ#,PST.PTCP,PST,Right
dream,Present 3rd Singular,#dɹimz#,#dɹim#,3SG-PRES,3SG-PRES,Right
dream,Progressive,#dɹimɪŋ#,#dɹim#,PROG,PROG,Right
dream,Past,#dɹɛmt#,#dɹim#,PST/ PST.PTCP,PST,Right
dream,Perfect,#dɹɛmt#,#dɹim#,PST/ PST.PTCP,PST,Right
drink,Present 3rd Singular,#dɹɪŋks#,#dɹɪŋk#,3SG-PRES,3SG-PRES,Right
drink,Progressive,#dɹɪŋkɪŋ#,#dɹɪŋk#,PROG,PROG,Right
drink,Past,#dɹæŋk#,#dɹɪŋk#,PST,PST,Right
drink,Perfect,#dɹʌŋk#,#dɹɪŋk#,PST.PTCP,PST,Right
drive,Present 3rd Singular,#dɹaɪvz#,#dɹaɪv#,3SG-PRES,3SG-PRES,Right
drive,Progressive,#dɹaɪvɪŋ#,#dɹaɪv#,PROG,PROG,Right
drive,Past,#dɹoʊv#,#dɹaɪv#,PST,PST,Right
drive,Perfect,#dɹɪvən#,#dɹaɪv#,PST.PTCP,PST,Right
dwell,Present 3rd Singular,#dwɛlz#,#dwɛl#,3SG-PRES,3SG-PRES,Right
dwell,Progressive,#dwɛlɪŋ#,#dwɛl#,PROG,PROG,Right
dwell,Past,#dwɛld#,#dwɛl#,PST/ PST.PTCP,PST,Right
dwell,Perfect,#dwɛld#,#dwɛl#,PST/ PST.PTCP,PST,Right
earn,Present 3rd Singular,#ɝnz#,#ɝn#,3SG-PRES,3SG-PRES,Right
earn,Progressive,#ɝnɪŋ#,#ɝn#,PROG,PROG,Right
earn,Past,#ɝnd#,#ɝn#,PST/ PST.PTCP,PST,Right
earn,Perfect,#ɝnd#,#ɝn#,PST/ PST.PTCP,PST,Right
eat,Present 3rd Singular,#its#,#it#,3SG-PRES,3SG-PRES,Right
eat,Progressive,#itɪŋ#,#it#,PROG,PROG,Right
eat,Past,#eɪt#,#it#,PST,PST,Right
eat,Perfect,#itən#,#it#,PST.PTCP,PST,Right
eliminate,Present 3rd Singular,#ɪlɪməneɪts#,#ɪlɪməneɪt#,3SG-PRES,3SG-PRES,Right
eliminate,Progressive,#ɪlɪməneɪtɪŋ#,#ɪlɪməneɪt#,PROG,PROG,Right
eliminate,Past,#ɪlɪməneɪtɪd#,#ɪlɪməneɪt#,PST/ PST.PTCP,PST,Right
eliminate,Perfect,#ɪlɪməneɪtɪd#,#ɪlɪməneɪt#,PST/ PST.PTCP,PST,Right
embrace,Present 3rd Singular,#ɪmbɹeɪsɪz#,#ɪmbɹeɪs#,3SG-PRES,3SG-PRES,Right
embrace,Progressive,#ɪmbɹeɪsɪŋ#,#ɪmbɹeɪs#,PROG,PROG,Right
embrace,Past,#ɪmbɹeɪst#,#ɪmbɹeɪs#,PST/ PST.PTCP,PST,Right
embrace,Perfect,#ɪmbɹeɪst#,#ɪmbɹeɪs#,PST/ PST.PTCP,PST,Right
enjoy,Present 3rd Singular,#ɪnʤɔɪz#,#ɪnʤɔ#,3SG-PRES,3SG-PRES,Wrong
enjoy,Progressive,#ɪnʤɔɪɪŋ#,#ɪnʤɔɪ#,PROG,PROG,Right
enjoy,Past,#ɪnʤɔɪd#,#ɪnʤɔ#,PST/ PST.PTCP,PST,Wrong
enjoy,Perfect,#ɪnʤɔɪd#,#ɪnʤɔ#,PST/ PST.PTCP,PST,Wrong
evaporate,Present 3rd Singular,#ɪvæpəɹeɪts#,#ɪvæpəɹeɪt#,3SG-PRES,3SG-PRES,Right
evaporate,Progressive,#ɪvæpəɹeɪtɪŋ#,#ɪvæpəɹeɪt#,PROG,PROG,Right
evaporate,Past,#ɪvæpəɹeɪtɪd#,#ɪvæpəɹeɪt#,PST/ PST.PTCP,PST,Right
evaporate,Perfect,#ɪvæpəɹeɪtɪd#,#ɪvæpəɹeɪt#,PST/ PST.PTCP,PST,Right
face,Present 3rd Singular,#feɪsɪz#,#feɪs#,3SG-PRES,3SG-PRES,Right
face,Progressive,#feɪsɪŋ#,#feɪs#,PROG,PROG,Right
face,Past,#feɪst#,#feɪs#,PST/ PST.PTCP,PST,Right
face,Perfect,#feɪst#,#feɪs#,PST/ PST.PTCP,PST,Right
fall,Present 3rd Singular,#fɔlz#,#fɔl#,3SG-PRES,3SG-PRES,Right
fall,Progressive,#fɔlɪŋ#,#fɔl#,PROG,PROG,Right
fall,Past,#fɛl#,#fɔl#,PST,PST,Right
fall,Perfect,#fɔlən#,#fɔl#,PST.PTCP,PST,Right
feed,Present 3rd Singular,#fidz#,#fid#,3SG-PRES,3SG-PRES,Right
feed,Progressive,#fidɪŋ#,#fid#,PROG,PROG,Right
feed,Past,#fɛd#,#fid#,PST/ PST.PTCP,PST,Right
feed,Perfect,#fɛd#,#fid#,PST/ PST.PTCP,PST,Right
feel,Present 3rd Singular,#filz#,#fil#,3SG-PRES,3SG-PRES,Right
feel,Progressive,#filɪŋ#,#fil#,PROG,PROG,Right
feel,Past,#fɛlt#,#fil#,PST/ PST.PTCP,PST,Right
feel,Perfect,#fɛlt#,#fil#,PST/ PST.PTCP,PST,Right
fidget,Present 3rd Singular,#fɪdʒɪts#,#fɪdʒɪt#,3SG-PRES,3SG-PRES,Right
fidget,Progressive,#fɪdʒɪtɪŋ#,#fɪdʒɪt#,PROG,PROG,Right
fidget,Past,#fɪdʒɪtɪd#,#fɪdʒɪt#,PST/ PST.PTCP,PST,Right
fidget,Perfect,#fɪdʒɪtɪd#,#fɪdʒɪt#,PST/ PST.PTCP,PST,Right
fight,Present 3rd Singular,#faɪts#,#faɪt#,3SG-PRES,3SG-PRES,Right
fight,Progressive,#faɪtɪŋ#,#faɪt#,PROG,PROG,Right
fight,Past,#fɔt#,#faɪt#,PST/ PST.PTCP,PST,Right
fight,Perfect,#fɔt#,#faɪt#,PST/ PST.PTCP,PST,Right
find,Present 3rd Singular,#faɪndz#,#faɪnd#,3SG-PRES,3SG-PRES,Right
find,Progressive,#faɪndɪŋ#,#faɪnd#,PROG,PROG,Right
find,Past,#faʊnd#,#faɪnd#,PST/ PST.PTCP,PST,Right
find,Perfect,#faʊnd#,#faɪnd#,PST/ PST.PTCP,PST,Right
fit,Present 3rd Singular,#fɪts#,#fɪt#,3SG-PRES,3SG-PRES,Right
fit,Progressive,#fɪtɪŋ#,#fɪt#,PROG,PROG,Right
fit,Past,#fɪt#,#fɪt#,PST/ PST.PTCP,PST,Right
fit,Perfect,#fɪt#,#fɪt#,PST/ PST.PTCP,PST,Right
fix,Present 3rd Singular,#fɪksɪz#,#fɪks#,3SG-PRES,3SG-PRES,Right
fix,Progressive,#fɪksɪŋ#,#fɪks#,PROG,PROG,Right
fix,Past,#fɪkst#,#fɪks#,PST/ PST.PTCP,PST,Right
fix,Perfect,#fɪkst#,#fɪks#,PST/ PST.PTCP,PST,Right
flee,Present 3rd Singular,#fliz#,#fli#,3SG-PRES,3SG-PRES,Right
flee,Progressive,#fliɪŋ#,#fli#,PROG,PROG,Right
flee,Past,#flɛd#,#fli#,PST/ PST.PTCP,PST,Right
flee,Perfect,#flɛd#,#fli#,PST/ PST.PTCP,PST,Right
fling,Present 3rd Singular,#flɪŋz#,#flɪŋ#,3SG-PRES,3SG-PRES,Right
fling,Progressive,#flɪŋɪŋ#,#flɪŋ#,PROG,PROG,Right
fling,Past,#flʌŋ#,#flɪŋ#,PST/ PST.PTCP,PST,Right
fling,Perfect,#flʌŋ#,#flɪŋ#,PST/ PST.PTCP,PST,Right
flush,Present 3rd Singular,#flʌʃɪz#,#flʌʃ#,3SG-PRES,3SG-PRES,Right
flush,Progressive,#flʌʃɪŋ#,#flʌʃ#,PROG,PROG,Right
flush,Past,#flʌʃt#,#flʌʃ#,PST/ PST.PTCP,PST,Right
flush,Perfect,#flʌʃt#,#flʌʃ#,PST/ PST.PTCP,PST,Right
fly,Present 3rd Singular,#flaɪz#,#fla#,3SG-PRES,3SG-PRES,Wrong
fly,Progressive,#flaɪɪŋ#,#flaɪ#,PROG,PROG,Right
fly,Past,#flu#,#flaɪ#,PST,PST,Right
fly,Perfect,#floʊn#,#flaɪ#,PST.PTCP,PST,Right
forbid,Present 3rd Singular,#fəɹbɪdz#,#fəɹbɪd#,3SG-PRES,3SG-PRES,Right
forbid,Progressive,#fəɹbɪdɪŋ#,#fəɹbɪd#,PROG,PROG,Right
forbid,Past,#fəɹbeɪd#,#fəɹbɪd#,PST,PST,Right
forbid,Perfect,#fəɹbɪdən#,#fəɹbɪd#,PST.PTCP,PST,Right
forget,Present 3rd Singular,#fəɹgɛts#,#fəɹgɛt#,3SG-PRES,3SG-PRES,Right
forget,Progressive,#fəɹgɛtɪŋ#,#fəɹgɛt#,PROG,PROG,Right
forget,Past,#fəɹgɑt#,#fəɹgɛt#,PST,PST,Right
forget,Perfect,#fəɹgɑtən#,#fəɹgɛt#,PST.PTCP,PST,Right
forgive,Present 3rd Singular,#fəɹɡɪvs#,#fəɹɡɪv#,3SG-PRES,3SG-PRES,Right
forgive,Progressive,#fəɹɡɪvɪŋ#,#fəɹɡɪv#,PROG,PROG,Right
forgive,Past,#fəɹɡeɪv#,#fəɹɡeɪv#,BARE,PST,Wrong
forgive,Perfect,#fəɹɡɪvən#,#fəɹɡɪvən#,BARE,PST,Wrong
fray,Present 3rd Singular,#fɹeɪz#,#fɹe#,3SG-PRES,3SG-PRES,Wrong
fray,Progressive,#fɹeɪŋ#,#fɹe#,PROG,PROG,Wrong
fray,Past,#fɹeɪd#,#fɹe#,PST/ PST.PTCP,PST,Wrong
fray,Perfect,#fɹeɪd#,#fɹe#,PST/ PST.PTCP,PST,Wrong
freeze,Present 3rd Singular,#fɹizɪz#,#fɹiz#,3SG-PRES,3SG-PRES,Right
freeze,Progressive,#fɹizɪŋ#,#fɹiz#,PROG,PROG,Right
freeze,Past,#fɹoʊz#,#friz#,PST,PST,Wrong
freeze,Perfect,#fɹoʊzən#,#friz#,PST.PTCP,PST,Wrong
gain,Present 3rd Singular,#geɪnz#,#geɪn#,3SG-PRES,3SG-PRES,Right
gain,Progressive,#geɪnɪŋ#,#geɪn#,PROG,PROG,Right
gain,Past,#geɪnd#,#geɪn#,PST/ PST.PTCP,PST,Right
gain,Perfect,#geɪnd#,#geɪn#,PST/ PST.PTCP,PST,Right
gather,Present 3rd Singular,#ɡæðəɹz#,#ɡæðəɹ#,3SG-PRES,3SG-PRES,Right
gather,Progressive,#ɡæðəɹɪŋ#,#ɡæðəɹ#,PROG,PROG,Right
gather,Past,#ɡæðəɹd#,#ɡæðəɹ#,PST/ PST.PTCP,PST,Right
gather,Perfect,#ɡæðəɹd#,#ɡæðəɹ#,PST/ PST.PTCP,PST,Right
generate,Present 3rd Singular,#ʤɛnəɹeɪts#,#ʤɛnəɹeɪt#,3SG-PRES,3SG-PRES,Right
generate,Progressive,#ʤɛnəɹeɪtɪŋ#,#ʤɛnəɹeɪt#,PROG,PROG,Right
generate,Past,#ʤɛnəɹeɪtɪd#,#ʤɛnəɹeɪt#,PST/ PST.PTCP,PST,Right
generate,Perfect,#ʤɛnəɹeɪtɪd#,#ʤɛnəɹeɪt#,PST/ PST.PTCP,PST,Right
get,Present 3rd Singular,#ɡets#,#ɡet#,3SG-PRES,3SG-PRES,Right
get,Progressive,#ɡetɪŋ#,#ɡet#,PROG,PROG,Right
get,Past,#ɡɑt#,#ɡɑ#,PST/ PST.PTCP,PST,Wrong
get,Perfect,#ɡɑtn#,#ɡɑtn#,BARE,PST,Wrong
give,Present 3rd Singular,#ɡɪvs#,#ɡɪv#,3SG-PRES,3SG-PRES,Right
give,Progressive,#ɡɪvɪŋ#,#ɡɪv#,PROG,PROG,Right
give,Past,#ɡeɪv#,#ɡeɪv#,BARE,PST,Wrong
give,Perfect,#ɡɪvən#,#ɡɪvən#,BARE,PST,Wrong
go,Present 3rd Singular,#ɡoʊz#,#ɡoʊ#,3SG-PRES,3SG-PRES,Right
go,Progressive,#ɡoʊɪŋ#,#ɡoʊ#,PROG,PROG,Right
go,Past,#wɛnt#,#goʊ#,PST,PST,Wrong
go,Perfect,#ɡɑn#,#ɡɑn#,BARE,PST,Wrong
grab,Present 3rd Singular,#ɡɹæbz#,#ɡɹæb#,3SG-PRES,3SG-PRES,Right
grab,Progressive,#ɡɹæbɪŋ#,#ɡɹæb#,PROG,PROG,Right
grab,Past,#ɡɹæbd#,#ɡɹæb#,PST/ PST.PTCP,PST,Right
grab,Perfect,#ɡɹæbd#,#ɡɹæb#,PST/ PST.PTCP,PST,Right
grow,Present 3rd Singular,#ɡɹoʊz#,#ɡɹoʊ#,3SG-PRES,3SG-PRES,Right
grow,Progressive,#ɡɹoʊɪŋ#,#ɡɹoʊ#,PROG,PROG,Right
grow,Past,#ɡɹu#,#ɡɹu#,BARE,PST,Wrong
grow,Perfect,#ɡɹoʊn#,#ɡɹoʊn#,BARE,PST,Wrong
halt,Present 3rd Singular,#hɔlts#,#hɔlt#,3SG-PRES,3SG-PRES,Right
halt,Progressive,#hɔltɪŋ#,#hɔlt#,PROG,PROG,Right
halt,Past,#hɔltɪd#,#hɔlt#,PST/ PST.PTCP,PST,Right
halt,Perfect,#hɔltɪd#,#hɔlt#,PST/ PST.PTCP,PST,Right
hang,Present 3rd Singular,#hæŋz#,#hæŋ#,3SG-PRES,3SG-PRES,Right
hang,Progressive,#hæŋɪŋ#,#hæŋ#,PROG,PROG,Right
hang,Past,#hʌŋ#,#hæŋ#,PST/ PST.PTCP,PST,Right
hang,Perfect,#hʌŋ#,#hæŋ#,PST/ PST.PTCP,PST,Right
have,Present 3rd Singular,#hævz#,#hæv#,3SG-PRES,3SG-PRES,Wrong
have,Progressive,#hævɪŋ#,#hæv#,PROG,PROG,Wrong
have,Past,#hæd#,#hæv#,PST/ PST.PTCP,PST,Wrong
have,Perfect,#hæd#,#hæv#,PST/ PST.PTCP,PST,Wrong
heal,Present 3rd Singular,#hilz#,#hil#,3SG-PRES,3SG-PRES,Right
heal,Progressive,#hilɪŋ#,#hil#,PROG,PROG,Right
heal,Past,#hild#,#hil#,PST/ PST.PTCP,PST,Right
heal,Perfect,#hild#,#hil#,PST/ PST.PTCP,PST,Right
hear,Present 3rd Singular,#hɪɹz#,#hɪɹ#,3SG-PRES,3SG-PRES,Right
hear,Progressive,#hɪɹɪŋ#,#hɪɹ#,PROG,PROG,Right
hear,Past,#hɜɹd#,,,PST,Wrong
hear,Perfect,#hɜɹd#,,,PST,Wrong
help,Present 3rd Singular,#hɛlps#,#hɛlp#,3SG-PRES,3SG-PRES,Right
help,Progressive,#hɛlpɪŋ#,#hɛlp#,PROG,PROG,Right
help,Past,#hɛlpt#,#hɛlp#,PST/ PST.PTCP,PST,Right
help,Perfect,#hɛlpt#,#hɛlp#,PST/ PST.PTCP,PST,Right
hide,Present 3rd Singular,#haɪdz#,#haɪd#,3SG-PRES,3SG-PRES,Right
hide,Progressive,#haɪdɪŋ#,#haɪd#,PROG,PROG,Right
hide,Past,#hɪd#,#haɪd#,PST,PST,Right
hide,Perfect,#hɪdən#,#haɪd#,PST.PTCP,PST,Right
hint,Present 3rd Singular,#hɪnts#,#hɪnt#,3SG-PRES,3SG-PRES,Right
hint,Progressive,#hɪntɪŋ#,#hɪnt#,PROG,PROG,Right
hint,Past,#hɪntɪd#,#hɪnt#,PST/ PST.PTCP,PST,Right
hint,Perfect,#hɪntɪd#,#hɪnt#,PST/ PST.PTCP,PST,Right
hit,Present 3rd Singular,#hɪts#,#hɪt#,3SG-PRES,3SG-PRES,Right
hit,Progressive,#hɪtɪŋ#,#hɪt#,PROG,PROG,Right
hit,Past,#hɪt#,#hɪt#,PST/ PST.PTCP,PST,Right
hit,Perfect,#hɪt#,#hɪt#,PST/ PST.PTCP,PST,Right
hold,Present 3rd Singular,#hoʊldz#,#hoʊld#,3SG-PRES,3SG-PRES,Right
hold,Progressive,#hoʊldɪŋ#,#hoʊld#,PROG,PROG,Right
hold,Past,#hɛld#,#hoʊld#,PST/ PST.PTCP,PST,Right
hold,Perfect,#hɛld#,#hoʊld#,PST/ PST.PTCP,PST,Right
holler,Present 3rd Singular,#hɑləɹz#,#hɑləɹ#,3SG-PRES,3SG-PRES,Right
holler,Progressive,#hɑləɹɪŋ#,#hɑləɹ#,PROG,PROG,Right
holler,Past,#hɑləɹd#,#hɑləɹ#,PST/ PST.PTCP,PST,Right
holler,Perfect,#hɑləɹd#,#hɑləɹ#,PST/ PST.PTCP,PST,Right
host,Present 3rd Singular,#hoʊsts#,#hoʊst#,3SG-PRES,3SG-PRES,Right
host,Progressive,#hoʊstɪŋ#,#hoʊst#,PROG,PROG,Right
host,Past,#hoʊstɪd#,#hoʊst#,PST/ PST.PTCP,PST,Right
host,Perfect,#hoʊstɪd#,#hoʊst#,PST/ PST.PTCP,PST,Right
hurt,Present 3rd Singular,#hɜɹts#,,,3SG-PRES,Wrong
hurt,Progressive,#hɜɹtɪŋ#,,,PROG,Wrong
hurt,Past,#hɜɹt#,#hɜɹt#,PST/ PST.PTCP,PST,Right
hurt,Perfect,#hɜɹt#,#hɜɹt#,PST/ PST.PTCP,PST,Right
idealize,Present 3rd Singular,#aɪdiəlaɪzɪz#,#aɪdiəlaɪz#,3SG-PRES,3SG-PRES,Right
idealize,Progressive,#aɪdiəlaɪzɪŋ#,#aɪdiəlaɪz#,PROG,PROG,Right
idealize,Past,#aɪdiəlaɪzd#,#aɪdiəlaɪz#,PST/ PST.PTCP,PST,Right
idealize,Perfect,#aɪdiəlaɪzd#,#aɪdiəlaɪz#,PST/ PST.PTCP,PST,Right
identify,Present 3rd Singular,#aɪdɛntɪfaɪz#,#aɪdɛntɪfa#,3SG-PRES,3SG-PRES,Wrong
identify,Progressive,#aɪdɛntɪfaɪŋ#,#aɪdɛntɪfa#,PROG,PROG,Wrong
identify,Past,#aɪdɛntɪfaɪd#,#aɪdɛntɪfa#,PST/ PST.PTCP,PST,Wrong
identify,Perfect,#aɪdɛntɪfaɪd#,#aɪdɛntɪfa#,PST/ PST.PTCP,PST,Wrong
ignore,Present 3rd Singular,#ɪɡnɔɹz#,#ɪɡnɔɹ#,3SG-PRES,3SG-PRES,Right
ignore,Progressive,#ɪɡnɔɹɪŋ#,#ɪɡnɔɹ#,PROG,PROG,Right
ignore,Past,#ɪɡnɔɹd#,#ɪɡnɔɹ#,PST/ PST.PTCP,PST,Right
ignore,Perfect,#ɪɡnɔɹd#,#ɪɡnɔɹ#,PST/ PST.PTCP,PST,Right
improve,Present 3rd Singular,#ɪmpɹuvz#,#ɪmpɹuv#,3SG-PRES,3SG-PRES,Right
improve,Progressive,#ɪmpɹuvɪŋ#,#ɪmpɹuv#,PROG,PROG,Right
improve,Past,#ɪmpɹuvd#,#ɪmpɹuv#,PST/ PST.PTCP,PST,Right
improve,Perfect,#ɪmpɹuvd#,#ɪmpɹuv#,PST/ PST.PTCP,PST,Right
index,Present 3rd Singular,#ɪndɛksɪz#,#ɪndɛks#,3SG-PRES,3SG-PRES,Right
index,Progressive,#ɪndɛksɪŋ#,#ɪndɛks#,PROG,PROG,Right
index,Past,#ɪndɛkst#,#ɪndɛks#,PST/ PST.PTCP,PST,Right
index,Perfect,#ɪndɛkst#,#ɪndɛks#,PST/ PST.PTCP,PST,Right
