verb,tense,predicted,gold,correct
flush,Present 3rd Singular,flʌʃɪz,flʌʃɪz,+
flush,Progressive,flʌʃɪŋ,flʌʃɪŋ,+
flush,Past,flʌʃt,flʌʃt,+
flush,Perfect,flʌʃt,flʌʃt,+
fly,Present 3rd Singular,flaɪz,flaɪz,+
fly,Progressive,flaɪɪŋ,flaɪɪŋ,+
fly,Past,flu,flu,+
fly,Perfect,floʊn,floʊn,+
forbid,Present 3rd Singular,fəɹbɪdz,fəɹbɪdz,+
forbid,Progressive,fəɹbɪdɪŋ,fəɹbɪdɪŋ,+
forbid,Past,fəɹbeɪd,fəɹbeɪd,+
forbid,Perfect,fəɹbɪdən,fəɹbɪdən,+
forget,Present 3rd Singular,,fəɹgɛts,-
forget,Progressive,fəɹgɛtɪŋ,fəɹgɛtɪŋ,+
forget,Past,fəɹgɑt,fəɹgɑt,+
forget,Perfect,fəɹgɑtən,fəɹgɑtən,+
forgive,Present 3rd Singular,fəɹɡɪvz,fəɹɡɪvs,-
forgive,Progressive,fəɹɡɪvɪŋ,fəɹɡɪvɪŋ,+
forgive,Past,fəɹɡɪvd,fəɹɡeɪv,-
forgive,Perfect,fəɹɡɪvd,fəɹɡɪvən,-
fray,Present 3rd Singular,fɹeɪz,fɹeɪz,+
fray,Progressive,fɹeɪɪŋ,fɹeɪŋ,-
fray,Past,fɹeɪd,fɹeɪd,+
fray,Perfect,fɹeɪd,fɹeɪd,+
freeze,Present 3rd Singular,fɹizɪz,fɹizɪz,+
freeze,Progressive,fɹizɪŋ,fɹizɪŋ,+
freeze,Past,fɹoʊz,fɹoʊz,+
freeze,Perfect,fɹoʊzən,fɹoʊzən,+
gain,Present 3rd Singular,,geɪnz,-
gain,Progressive,geɪnɪŋ,geɪnɪŋ,+
gain,Past,geɪnd,geɪnd,+
gain,Perfect,geɪnd,geɪnd,+
gather,Present 3rd Singular,ɡæðəɹz,ɡæðəɹz,+
gather,Progressive,ɡæðəɹɪŋ,ɡæðəɹɪŋ,+
gather,Past,ɡæðəɹd,ɡæðəɹd,+
gather,Perfect,ɡæðəɹd,ɡæðəɹd,+
generate,Present 3rd Singular,ʤɛnəɹeɪts,ʤɛnəɹeɪts,+
generate,Progressive,ʤɛnəɹeɪtɪŋ,ʤɛnəɹeɪtɪŋ,+
generate,Past,ʤɛnəɹeɪtɪd,ʤɛnəɹeɪtɪd,+
generate,Perfect,ʤɛnəɹeɪtɪd,ʤɛnəɹeɪtɪd,+
get,Present 3rd Singular,ɡets,ɡets,+
get,Progressive,ɡetɪŋ,ɡetɪŋ,+
get,Past,ɡetɪd,ɡɑt,-
get,Perfect,ɡetɪd,ɡɑtn,-
give,Present 3rd Singular,ɡɪvz,ɡɪvs,-
give,Progressive,ɡɪvɪŋ,ɡɪvɪŋ,+
give,Past,ɡɪvd,ɡeɪv,-
give,Perfect,ɡɪvd,ɡɪvən,-
go,Present 3rd Singular,ɡoʊz,ɡoʊz,+
go,Progressive,ɡoʊɪŋ,ɡoʊɪŋ,+
go,Past,ɡoʊd,wɛnt,-
go,Perfect,ɡoʊd,ɡɑn,-
grab,Present 3rd Singular,ɡɹæbz,ɡɹæbz,+
grab,Progressive,ɡɹæbɪŋ,ɡɹæbɪŋ,+
grab,Past,ɡɹæbd,ɡɹæbd,+
grab,Perfect,ɡɹæbd,ɡɹæbd,+
grow,Present 3rd Singular,ɡɹoʊz,ɡɹoʊz,+
grow,Progressive,ɡɹoʊɪŋ,ɡɹoʊɪŋ,+
grow,Past,ɡɹoʊd,ɡɹu,-
grow,Perfect,ɡɹoʊd,ɡɹoʊn,-
halt,Present 3rd Singular,hɔlts,hɔlts,+
halt,Progressive,hɔltɪŋ,hɔltɪŋ,+
halt,Past,hɔltɪd,hɔltɪd,+
halt,Perfect,hɔltɪd,hɔltɪd,+
hang,Present 3rd Singular,hæŋz,hæŋz,+
hang,Progressive,hæŋɪŋ,hæŋɪŋ,+
hang,Past,hʌŋ,hʌŋ,+
hang,Perfect,hʌŋ,hʌŋ,+
have,Present 3rd Singular,hæzɪz,hævz,-
have,Progressive,hæzɪŋ,hævɪŋ,-
have,Past,hæzd,hæd,-
have,Perfect,hæzd,hæd,-
heal,Present 3rd Singular,hilz,hilz,+
heal,Progressive,hilɪŋ,hilɪŋ,+
heal,Past,hild,hild,+
heal,Perfect,hild,hild,+
hear,Present 3rd Singular,hɪɹz,hɪɹz,+
hear,Progressive,hɪɹɪŋ,hɪɹɪŋ,+
hear,Past,hɜɹd,hɜɹd,+
hear,Perfect,hɜɹd,hɜɹd,+
help,Present 3rd Singular,hɛlps,hɛlps,+
help,Progressive,hɛlpɪŋ,hɛlpɪŋ,+
help,Past,hɛlpt,hɛlpt,+
help,Perfect,hɛlpt,hɛlpt,+
hide,Present 3rd Singular,haɪdz,haɪdz,+
hide,Progressive,haɪdɪŋ,haɪdɪŋ,+
hide,Past,hɪd,hɪd,+
hide,Perfect,hɪdən,hɪdən,+
hint,Present 3rd Singular,hɪnts,hɪnts,+
hint,Progressive,hɪntɪŋ,hɪntɪŋ,+
hint,Past,hɪntɪd,hɪntɪd,+
hint,Perfect,hɪntɪd,hɪntɪd,+
hit,Present 3rd Singular,hɪts,hɪts,+
hit,Progressive,hɪtɪŋ,hɪtɪŋ,+
hit,Past,hɪt,hɪt,+
hit,Perfect,hɪt,hɪt,+
hold,Present 3rd Singular,hoʊldz,hoʊldz,+
hold,Progressive,hoʊldɪŋ,hoʊldɪŋ,+
hold,Past,hɛld,hɛld,+
hold,Perfect,hɛld,hɛld,+
holler,Present 3rd Singular,hɑləɹz,hɑləɹz,+
holler,Progressive,hɑləɹɪŋ,hɑləɹɪŋ,+
holler,Past,hɑləɹd,hɑləɹd,+
holler,Perfect,hɑləɹd,hɑləɹd,+
host,Present 3rd Singular,hoʊsts,hoʊsts,+
host,Progressive,hoʊstɪŋ,hoʊstɪŋ,+
host,Past,hoʊstɪd,hoʊstɪd,+
host,Perfect,hoʊstɪd,hoʊstɪd,+
hurt,Present 3rd Singular,,hɜɹts,-
hurt,Progressive,,hɜɹtɪŋ,-
hurt,Past,hɜɹt,hɜɹt,+
hurt,Perfect,hɜɹt,hɜɹt,+
idealize,Present 3rd Singular,aɪdiəlaɪzɪz,aɪdiəlaɪzɪz,+
idealize,Progressive,aɪdiəlaɪzɪŋ,aɪdiəlaɪzɪŋ,+
idealize,Past,aɪdiəlaɪzd,aɪdiəlaɪzd,+
idealize,Perfect,aɪdiəlaɪzd,aɪdiəlaɪzd,+
identify,Present 3rd Singular,aɪdɛntɪfaɪz,aɪdɛntɪfaɪz,+
identify,Progressive,aɪdɛntɪfaɪɪŋ,aɪdɛntɪfaɪŋ,-
identify,Past,aɪdɛntɪfaɪd,aɪdɛntɪfaɪd,+
identify,Perfect,aɪdɛntɪfaɪd,aɪdɛntɪfaɪd,+
ignore,Present 3rd Singular,ɪɡnɔɹz,ɪɡnɔɹz,+
ignore,Progressive,ɪɡnɔɹɪŋ,ɪɡnɔɹɪŋ,+
ignore,Past,ɪɡnɔɹd,ɪɡnɔɹd,+
ignore,Perfect,ɪɡnɔɹd,ɪɡnɔɹd,+
improve,Present 3rd Singular,ɪmpɹuvz,ɪmpɹuvz,+
improve,Progressive,ɪmpɹuvɪŋ,ɪmpɹuvɪŋ,+
improve,Past,ɪmpɹuvd,ɪmpɹuvd,+
improve,Perfect,ɪmpɹuvd,ɪmpɹuvd,+
index,Present 3rd Singular,ɪndɛksɪz,ɪndɛksɪz,+
index,Progressive,ɪndɛksɪŋ,ɪndɛksɪŋ,+
index,Past,ɪndɛkst,ɪndɛkst,+
index,Perfect,ɪndɛkst,ɪndɛkst,+
invite,Present 3rd Singular,ɪnvaɪts,ɪnvaɪts,+
invite,Progressive,ɪnvaɪtɪŋ,ɪnvaɪtɪŋ,+
invite,Past,ɪnvaɪtɪd,ɪnvaɪtɪd,+
invite,Perfect,ɪnvaɪtɪd,ɪnvaɪtɪd,+
iron,Present 3rd Singular,aɪəɹnz,aɪəɹnz,+
iron,Progressive,aɪəɹnɪŋ,aɪəɹnɪŋ,+
iron,Past,aɪəɹnd,aɪəɹnd,+
iron,Perfect,aɪəɹnd,aɪəɹnd,+
jog,Present 3rd Singular,ʤɑɡz,ʤɑɡz,+
jog,Progressive,ʤɑɡɪŋ,ʤɑɡɪŋ,+
jog,Past,ʤɑɡd,ʤɑɡd,+
jog,Perfect,ʤɑɡd,ʤɑɡd,+
join,Present 3rd Singular,ʤɔɪnz,ʤɔɪnz,+
join,Progressive,ʤɔɪnɪŋ,ʤɔɪnɪŋ,+
join,Past,ʤɔɪnd,ʤɔɪnd,+
join,Perfect,ʤɔɪnd,ʤɔɪnd,+
jot,Present 3rd Singular,ʤɑts,ʤɑts,+
jot,Progressive,ʤɑtɪŋ,ʤɑtɪŋ,+
jot,Past,ʤɑtɪd,ʤɑtɪd,+
jot,Perfect,ʤɑtɪd,ʤɑtɪd,+
juice,Present 3rd Singular,ʤusɪz,ʤusɪz,+
juice,Progressive,ʤusɪŋ,ʤusɪŋ,+
juice,Past,ʤust,ʤust,+
juice,Perfect,ʤust,ʤust,+
justify,Present 3rd Singular,ʤʌstɪfaɪz,ʤʌstɪfaɪz,+
justify,Progressive,ʤʌstɪfaɪɪŋ,ʤʌstɪfaɪɪŋ,+
justify,Past,ʤʌstɪfaɪd,ʤʌstɪfaɪd,+
justify,Perfect,ʤʌstɪfaɪd,ʤʌstɪfaɪd,+
keep,Present 3rd Singular,kips,kips,+
keep,Progressive,kipɪŋ,kipɪŋ,+
keep,Past,kɛpt,kɛpt,+
keep,Perfect,kɛpt,kɛpt,+
kick,Present 3rd Singular,kɪks,kɪks,+
kick,Progressive,kɪkɪŋ,kɪkɪŋ,+
kick,Past,kɪkt,kɪkt,+
kick,Perfect,kɪkt,kɪkt,+
kiss,Present 3rd Singular,kɪsɪz,kɪsɪz,+
kiss,Progressive,kɪsɪŋ,kɪsɪŋ,+
kiss,Past,kɪst,kɪst,+
kiss,Perfect,kɪst,kɪst,+
know,Present 3rd Singular,noʊz,noʊz,+
know,Progressive,noʊɪŋ,noʊɪŋ,+
know,Past,nu,nu,+
know,Perfect,noʊn,noʊn,+
label,Present 3rd Singular,leɪbəlz,leɪbəlz,+
label,Progressive,leɪbəlɪŋ,leɪbəlɪŋ,+
label,Past,leɪbəld,leɪbəld,+
label,Perfect,leɪbəld,leɪbəld,+
lag,Present 3rd Singular,læɡz,læɡz,+
lag,Progressive,læɡɪŋ,læɡɪŋ,+
lag,Past,læɡd,læɡd,+
lag,Perfect,læɡd,læɡd,+
land,Present 3rd Singular,lændz,lændz,+
land,Progressive,lændɪŋ,lændɪŋ,+
land,Past,lændɪd,lændɪd,+
land,Perfect,lændɪd,lændɪd,+
last,Present 3rd Singular,læsts,læsts,+
last,Progressive,læstɪŋ,læstɪŋ,+
last,Past,læstɪd,læstɪd,+
last,Perfect,læstɪd,læstɪd,+
lay,Present 3rd Singular,leɪz,leɪz,+
lay,Progressive,leɪɪŋ,leɪɪŋ,+
lay,Past,leɪd,leɪd,+
lay,Perfect,leɪd,leɪd,+
lead,Present 3rd Singular,lidz,lidz,+
lead,Progressive,lidɪŋ,lidɪŋ,+
lead,Past,lɛd,lɛd,+
lead,Perfect,lɛd,lɛd,+
lean,Present 3rd Singular,linz,linz,+
lean,Progressive,linɪŋ,linɪŋ,+
lean,Past,lind,lind,+
lean,Perfect,lind,lind,+
leave,Present 3rd Singular,livz,livz,+
leave,Progressive,livɪŋ,livɪŋ,+
leave,Past,lɛft,lɛft,+
leave,Perfect,lɛft,lɛft,+
lend,Present 3rd Singular,lɛndz,lɛndz,+
lend,Progressive,lɛndɪŋ,lɛndɪŋ,+
lend,Past,lɛnt,lɛnt,+
lend,Perfect,lɛnt,lɛnt,+
let,Present 3rd Singular,lɛts,lɛts,+
let,Progressive,lɛtɪŋ,lɛtɪŋ,+
let,Past,lɛt,lɛt,+
let,Perfect,lɛt,lɛt,+
lie,Present 3rd Singular,laɪz,laɪz,+
lie,Progressive,laɪɪŋ,laɪɪŋ,+
lie,Past,laɪd,laɪd,+
lie,Perfect,laɪd,laɪd,+
lift,Present 3rd Singular,lɪfts,lɪfts,+
lift,Progressive,lɪftɪŋ,lɪftɪŋ,+
lift,Past,lɪftɪd,lɪftɪd,+
lift,Perfect,lɪftɪd,lɪftɪd,+
light,Present 3rd Singular,laɪts,laɪts,+
light,Progressive,laɪtɪŋ,laɪtɪŋ,+
light,Past,lɪt,lɪt,+
light,Perfect,lɪt,lɪt,+
listen,Present 3rd Singular,lɪsənz,lɪsənz,+
listen,Progressive,lɪsənɪŋ,lɪsənɪŋ,+
listen,Past,lɪsənd,lɪsənd,+
listen,Perfect,lɪsənd,lɪsənd,+
lose,Present 3rd Singular,luzɪz,luzɪz,+
lose,Progressive,luzɪŋ,luzɪŋ,+
lose,Past,lɔst,lɔst,+
lose,Perfect,lɔst,lɔst,+
mail,Present 3rd Singular,meɪlz,meɪlz,+
mail,Progressive,meɪlɪŋ,meɪlɪŋ,+
mail,Past,meɪld,meɪld,+
mail,Perfect,meɪld,meɪld,+
make,Present 3rd Singular,meɪks,meɪks,+
make,Progressive,meɪkɪŋ,meɪkɪŋ,+
make,Past,meɪd,meɪd,+
make,Perfect,meɪd,meɪd,+
manipulate,Present 3rd Singular,mənɪpjəleɪts,mənɪpjəleɪts,+
manipulate,Progressive,mənɪpjəleɪtɪŋ,mənɪpjəleɪtɪŋ,+
manipulate,Past,mənɪpjəleɪtɪd,mənɪpjəleɪtɪd,+
manipulate,Perfect,mənɪpjəleɪtɪd,mənɪpjəleɪtɪd,+
map,Present 3rd Singular,mæps,mæps,+
map,Progressive,mæpɪŋ,mæpɪŋ,+
map,Past,mæpt,mæpt,+
map,Perfect,mæpt,mæpt,+
may,Present 3rd Singular,meɪ,meɪ,+
may,Progressive,meɪɪŋ,No Progressive,-
may,Past,meɪd,maɪt,-
may,Perfect,meɪd,No Perfect Participle,-
mean,Present 3rd Singular,minz,minz,+
mean,Progressive,minɪŋ,minɪŋ,+
mean,Past,mɛnt,mɛnt,+
mean,Perfect,mɛnt,mɛnt,+
meet,Present 3rd Singular,mits,mits,+
meet,Progressive,mitɪŋ,mitɪŋ,+
meet,Past,mɛt,mɛt,+
meet,Perfect,mɛt,mɛt,+
mess,Present 3rd Singular,mɛsɪz,mɛsɪz,+
mess,Progressive,mɛsɪŋ,mɛsɪŋ,+
mess,Past,mɛst,mɛst,+
mess,Perfect,mɛst,mɛst,+
might,Present 3rd Singular,maɪt,maɪt,+
might,Progressive,maɪtɪŋ,No Progressive,-
might,Past,maɪtɪd,maɪt,-
might,Perfect,maɪtɪd,No Perfect Participle,-
mock,Present 3rd Singular,mɑks,mɑks,+
mock,Progressive,mɑkɪŋ,mɑkɪŋ,+
mock,Past,mɑkt,mɑkt,+
mock,Perfect,mɑkt,mɑkt,+
must,Present 3rd Singular,mʌst,mʌst,+
must,Progressive,mʌstɪŋ,No Progressive,-
must,Past,mʌstɪd,No Past Tense,-
must,Perfect,mʌstɪd,No Perfect Participle,-
nag,Present 3rd Singular,næɡz,næɡz,+
nag,Progressive,næɡɪŋ,næɡɪŋ,+
nag,Past,næɡd,næɡd,+
nag,Perfect,næɡd,næɡd,+
need,Present 3rd Singular,nidz,nidz,+
need,Progressive,nidɪŋ,nidɪŋ,+
need,Past,nidɪd,nidɪd,+
need,Perfect,nidɪd,nidɪd,+
negate,Present 3rd Singular,nɪɡeɪts,nɪɡeɪts,+
negate,Progressive,nɪɡeɪtɪŋ,nɪɡeɪtɪŋ,+
negate,Past,nɪɡeɪtɪd,nɪɡeɪtɪd,+
negate,Perfect,nɪɡeɪtɪd,nɪɡeɪtɪd,+
nest,Present 3rd Singular,nɛsts,nɛsts,+
nest,Progressive,nɛstɪŋ,nɛstɪŋ,+
nest,Past,nɛstɪd,nɛstɪd,+
nest,Perfect,nɛstɪd,nɛstɪd,+
obtain,Present 3rd Singular,əbteɪnz,əbteɪnz,+
obtain,Progressive,əbteɪnɪŋ,əbteɪnɪŋ,+
obtain,Past,əbteɪnd,əbteɪnd,+
obtain,Perfect,əbteɪnd,əbteɪnd,+
open,Present 3rd Singular,oʊpənz,oʊpənz,+
open,Progressive,oʊpənɪŋ,oʊpənɪŋ,+
open,Past,oʊpənd,oʊpənd,+
open,Perfect,oʊpənd,oʊpənd,+
oppose,Present 3rd Singular,əpoʊzɪz,əpoʊzɪz,+
oppose,Progressive,əpoʊzɪŋ,əpoʊzɪŋ,+
oppose,Past,əpoʊzd,əpoʊzd,+
oppose,Perfect,əpoʊzd,əpoʊzd,+
pace,Present 3rd Singular,peɪsɪz,peɪsɪz,+
pace,Progressive,peɪsɪŋ,peɪsɪŋ,+
pace,Past,peɪst,peɪst,+
pace,Perfect,peɪst,peɪst,+
pack,Present 3rd Singular,pæks,pæks,+
pack,Progressive,pækɪŋ,pækɪŋ,+
pack,Past,pækt,pækt,+
pack,Perfect,pækt,pækt,+
pay,Present 3rd Singular,peɪz,peɪz,+
pay,Progressive,peɪɪŋ,peɪɪŋ,+
pay,Past,peɪd,peɪd,+
pay,Perfect,peɪd,peɪd,+
peek,Present 3rd Singular,piks,piks,+
peek,Progressive,pikɪŋ,pikɪŋ,+
peek,Past,pikt,pikt,+
peek,Perfect,pikt,pikt,+
perfect,Present 3rd Singular,pɝfɛkts,pɝfɛkts,+
perfect,Progressive,pɝfɛktɪŋ,pɝfɛktɪŋ,+
perfect,Past,pɝfɛktɪd,pɝfɛktɪd,+
perfect,Perfect,pɝfɛktɪd,pɝfɛktɪd,+
predict,Present 3rd Singular,pɹɪdɪkts,pɹɪdɪkts,+
predict,Progressive,pɹɪdɪktɪŋ,pɹɪdɪktɪŋ,+
predict,Past,pɹɪdɪktɪd,pɹɪdɪktɪd,+
predict,Perfect,pɹɪdɪktɪd,pɹɪdɪktɪd,+
put,Present 3rd Singular,pʊts,pʊts,+
put,Progressive,pʊtɪŋ,pʊtɪŋ,+
put,Past,pʊt,pʊt,+
put,Perfect,pʊt,pʊt,+
quack,Present 3rd Singular,kwæks,kwæks,+
quack,Progressive,kwækɪŋ,kwækɪŋ,+
quack,Past,kwækt,kwækt,+
quack,Perfect,kwækt,kwækt,+
race,Present 3rd Singular,ɹeɪsɪz,ɹeɪsɪz,+
race,Progressive,ɹeɪsɪŋ,ɹeɪsɪŋ,+
race,Past,ɹeɪst,ɹeɪst,+
race,Perfect,ɹeɪst,ɹeɪst,+
react,Present 3rd Singular,ɹiækts,ɹiækts,+
react,Progressive,ɹiæktɪŋ,ɹiæktɪŋ,+
react,Past,ɹiæktɪd,ɹiæktɪd,+
react,Perfect,ɹiæktɪd,ɹiæktɪd,+
read,Present 3rd Singular,ɹidz,ɹidz,+
read,Progressive,ɹidɪŋ,ɹidɪŋ,+
read,Past,ɹɛd,ɹɛd,+
read,Perfect,ɹɛd,ɹɛd,+
ride,Present 3rd Singular,ɹaɪdz,ɹaɪdz,+
ride,Progressive,ɹaɪdɪŋ,ɹaɪdɪŋ,+
ride,Past,ɹoʊd,ɹoʊd,+
ride,Perfect,ɹɪdən,ɹɪdən,+
ring,Present 3rd Singular,ɹɪŋz,ɹɪŋz,+
ring,Progressive,ɹɪŋɪŋ,ɹɪŋɪŋ,+
ring,Past,ɹæŋ,ɹæŋ,+
ring,Perfect,ɹʌŋ,ɹʌŋ,+
rise,Present 3rd Singular,ɹaɪzɪz,ɹaɪzɪz,+
rise,Progressive,ɹaɪzɪŋ,ɹaɪzɪŋ,+
rise,Past,ɹoʊz,ɹoʊz,+
rise,Perfect,ɹɪzən,ɹɪzən,+
run,Present 3rd Singular,ɹʌnz,ɹʌnz,+
run,Progressive,ɹʌnɪŋ,ɹʌnɪŋ,+
run,Past,ɹæn,ɹæn,+
run,Perfect,ɹʌn,ɹʌn,+
save,Present 3rd Singular,seɪvz,seɪvz,+
save,Progressive,seɪvɪŋ,seɪvɪŋ,+
save,Past,seɪvd,seɪvd,+
save,Perfect,seɪvd,seɪvd,+
say,Present 3rd Singular,sɛz,sɛz,+
say,Progressive,seɪɪŋ,seɪɪŋ,+
say,Past,sɛd,sɛd,+
say,Perfect,sɛd,sɛd,+
scan,Present 3rd Singular,skænz,skænz,+
scan,Progressive,skænɪŋ,skænɪŋ,+
scan,Past,skænd,skænd,+
scan,Perfect,skænd,skænd,+
seat,Present 3rd Singular,sits,sits,+
seat,Progressive,sitɪŋ,sitɪŋ,+
seat,Past,sitɪd,sitɪd,+
seat,Perfect,sitɪd,sitɪd,+
see,Present 3rd Singular,siz,siz,+
see,Progressive,siɪŋ,siɪŋ,+
see,Past,sɔ,sɔ,+
see,Perfect,sin,sin,+
sell,Present 3rd Singular,sɛlz,sɛlz,+
sell,Progressive,sɛlɪŋ,sɛlɪŋ,+
sell,Past,soʊld,soʊld,+
sell,Perfect,soʊld,soʊld,+
send,Present 3rd Singular,sɛndz,sɛndz,+
send,Progressive,sɛndɪŋ,sɛndɪŋ,+
send,Past,sɛnt,sɛnt,+
send,Perfect,sɛnt,sɛnt,+
set,Present 3rd Singular,sɛts,sɛts,+
set,Progressive,sɛtɪŋ,sɛtɪŋ,+
set,Past,sɛt,sɛt,+
set,Perfect,sɛt,sɛt,+
shall,Present 3rd Singular,ʃæl,ʃæl,+
shall,Progressive,ʃælɪŋ,No Progressive,-
shall,Past,ʃæld,ʃʊd,-
shall,Perfect,ʃæld,No Perfect Participle,-
shine,Present 3rd Singular,ʃaɪnz,ʃaɪnz,+
shine,Progressive,ʃaɪnɪŋ,ʃaɪnɪŋ,+
shine,Past,ʃoʊn,ʃoʊn,+
shine,Perfect,ʃoʊn,ʃoʊn,+
shoot,Present 3rd Singular,ʃuts,ʃuts,+
shoot,Progressive,ʃutɪŋ,ʃutɪŋ,+
shoot,Past,ʃɑt,ʃɑt,+
shoot,Perfect,ʃɑt,ʃɑt,+
should,Present 3rd Singular,ʃʊd,ʃʊd,+
should,Progressive,ʃʊdɪŋ,No Progressive,-
should,Past,ʃʊdɪd,ʃʊd,-
should,Perfect,ʃʊdɪd,No Perfect Participle,-
show,Present 3rd Singular,ʃoʊz,ʃoʊz,+
show,Progressive,ʃoʊɪŋ,ʃoʊɪŋ,+
show,Past,ʃoʊd,ʃoʊd,+
show,Perfect,ʃoʊd,ʃoʊd,+
shut,Present 3rd Singular,ʃʌts,ʃʌts,+
shut,Progressive,ʃʌtɪŋ,ʃʌtɪŋ,+
shut,Past,ʃʌt,ʃʌt,+
shut,Perfect,ʃʌt,ʃʌt,+
sing,Present 3rd Singular,sɪŋz,sɪŋz,+
sing,Progressive,sɪŋɪŋ,sɪŋɪŋ,+
sing,Past,sæŋ,sæŋ,+
sing,Perfect,sʌŋ,sʌŋ,+
sit,Present 3rd Singular,sɪts,sɪts,+
sit,Progressive,sɪtɪŋ,sɪtɪŋ,+
sit,Past,sæt,sæt,+
sit,Perfect,sæt,sæt,+
sleep,Present 3rd Singular,slips,slips,+
sleep,Progressive,slipɪŋ,slipɪŋ,+
sleep,Past,slɛpt,slɛpt,+
sleep,Perfect,slɛpt,slɛpt,+
slide,Present 3rd Singular,slaɪdz,slaɪdz,+
slide,Progressive,slaɪdɪŋ,slaɪdɪŋ,+
slide,Past,slɪd,slɪd,+
slide,Perfect,slɪd,slɪd,+
speak,Present 3rd Singular,spiks,spiks,+
speak,Progressive,spikɪŋ,spikɪŋ,+
speak,Past,spoʊk,spoʊk,+
speak,Perfect,spoʊkən,spoʊkən,+
spend,Present 3rd Singular,spɛndz,spɛndz,+
spend,Progressive,spɛndɪŋ,spɛndɪŋ,+
spend,Past,spɛnt,spɛnt,+
spend,Perfect,spɛnt,spɛnt,+
stand,Present 3rd Singular,stændz,stændz,+
stand,Progressive,stændɪŋ,stændɪŋ,+
stand,Past,stʊd,stʊd,+
stand,Perfect,stʊd,stʊd,+
steal,Present 3rd Singular,stilz,stilz,+
steal,Progressive,stilɪŋ,stilɪŋ,+
steal,Past,stoʊl,stoʊl,+
steal,Perfect,stoʊlən,stoʊlən,+
stick,Present 3rd Singular,stɪks,stɪks,+
stick,Progressive,stɪkɪŋ,stɪkɪŋ,+
stick,Past,stʌk,stʌk,+
stick,Perfect,stʌk,stʌk,+
strike,Present 3rd Singular,stɹaɪks,stɹaɪks,+
strike,Progressive,stɹaɪkɪŋ,stɹaɪkɪŋ,+
strike,Past,stɹʌk,stɹʌk,+
strike,Perfect,stɹʌk,stɹʌk,+
swear,Present 3rd Singular,swɛɹz,swɛɹz,+
swear,Progressive,swɛɹɪŋ,swɛɹɪŋ,+
swear,Past,swɔɹ,swɔɹ,+
swear,Perfect,swɔɹn,swɔɹn,+
sweep,Present 3rd Singular,swips,swips,+
sweep,Progressive,swipɪŋ,swipɪŋ,+
sweep,Past,swɛpt,swɛpt,+
sweep,Perfect,swɛpt,swɛpt,+
swim,Present 3rd Singular,swɪmz,swɪmz,+
swim,Progressive,swɪmɪŋ,swɪmɪŋ,+
swim,Past,swæm,swæm,+
swim,Perfect,swʌm,swʌm,+
swing,Present 3rd Singular,swɪŋz,swɪŋz,+
swing,Progressive,swɪŋɪŋ,swɪŋɪŋ,+
swing,Past,swʌŋ,swʌŋ,+
swing,Perfect,swʌŋ,swʌŋ,+
take,Present 3rd Singular,teɪks,teɪks,+
take,Progressive,teɪkɪŋ,teɪkɪŋ,+
take,Past,tʊk,tʊk,+
take,Perfect,teɪkən,teɪkən,+
teach,Present 3rd Singular,titʃɪz,titʃɪz,+
teach,Progressive,titʃɪŋ,titʃɪŋ,+
teach,Past,tɔt,tɔt,+
teach,Perfect,tɔt,tɔt,+
tease,Present 3rd Singular,tizɪz,tizɪz,+
tease,Progressive,tizɪŋ,tizɪŋ,+
tease,Past,tizd,tizd,+
tease,Perfect,tizd,tizd,+
tell,Present 3rd Singular,tɛlz,tɛlz,+
tell,Progressive,tɛlɪŋ,tɛlɪŋ,+
tell,Past,toʊld,toʊld,+
tell,Perfect,toʊld,toʊld,+
think,Present 3rd Singular,θɪŋks,θɪŋks,+
think,Progressive,θɪŋkɪŋ,θɪŋkɪŋ,+
think,Past,θɔt,θɔt,+
think,Perfect,θɔt,θɔt,+
throw,Present 3rd Singular,θɹoʊz,θɹoʊz,+
throw,Progressive,θɹoʊɪŋ,θɹoʊɪŋ,+
throw,Past,θɹu,θɹu,+
throw,Perfect,θɹoʊn,θɹoʊn,+
tip,Present 3rd Singular,tɪps,tɪps,+
tip,Progressive,tɪpɪŋ,tɪpɪŋ,+
tip,Past,tɪpt,tɪpt,+
tip,Perfect,tɪpt,tɪpt,+
understand,Present 3rd Singular,ʌndəɹstændz,ʌndəɹstændz,+
understand,Progressive,ʌndəɹstændɪŋ,ʌndəɹstændɪŋ,+
understand,Past,ʌndəɹstʊd,ʌndəɹstʊd,+
understand,Perfect,ʌndəɹstʊd,ʌndəɹstʊd,+
untie,Present 3rd Singular,ʌntaɪz,ʌntaɪz,+
untie,Progressive,ʌntaɪɪŋ,ʌntaɪŋ,-
untie,Past,ʌntaɪd,ʌntaɪd,+
untie,Perfect,ʌntaɪd,ʌntaɪd,+
value,Present 3rd Singular,væljuz,væljuz,+
value,Progressive,væljuɪŋ,væljuɪŋ,+
value,Past,væljud,væljud,+
value,Perfect,væljud,væljud,+
vend,Present 3rd Singular,vɛndz,vɛndz,+
vend,Progressive,vɛndɪŋ,vɛndɪŋ,+
vend,Past,vɛndɪd,vɛndɪd,+
vend,Perfect,vɛndɪd,vɛndɪd,+
vent,Present 3rd Singular,vɛnts,vɛnts,+
vent,Progressive,vɛntɪŋ,vɛntɪŋ,+
vent,Past,vɛntɪd,vɛntɪd,+
vent,Perfect,vɛntɪd,vɛntɪd,+
wait,Present 3rd Singular,weɪts,weɪts,+
